demand,grid1-load,grid1-temp,grid1-loss
255.8673946,343.974,278.95,12.065
246.9423613,338.027,279.25,11.741
245.9247572,335.257,279.45,11.592
244.1513041,334.611,279.05,11.557
268.5978,342.099,278.75,11.963
269.0540754,357.59,278.35,12.83
297.3834002,383.911,277.65,14.391
334.2699637,411.731,276.95,16.162
357.0163738,429.228,276.35,17.339
362.93244,446.301,276.25,18.535
360.0977381,453.504,276.15,19.053
354.5609754,450.836,275.25,18.86
352.0494687,454.025,275.05,19.091
361.7465041,464.008,274.85,19.824
362.5478025,462.971,274.65,19.747
362.4988531,456.88,274.75,19.299
357.9918536,453.756,274.85,19.072
351.821928,447.794,274.85,18.642
341.9304167,436.144,274.65,17.818
330.564922,423.159,274.45,16.925
324.1770111,411.723,274.15,16.161
314.9712666,390.706,274.15,14.812
303.7973927,368.977,274.25,13.492
298.058048,346.888,273.95,12.227
267.1745568,336.562,273.85,11.662
263.0837744,336.332,273.65,11.65
266.0155885,333.324,273.55,11.488
269.4765021,334.905,273.75,11.573
312.7669717,339.849,274.05,11.84
324.743838,352.659,274.25,12.549
335.5395397,373.152,274.35,13.739
352.1021189,399.954,274.35,15.397
360.4258189,418.219,274.35,16.593
365.8376578,423.277,274.15,16.933
370.5284232,424.954,274.05,17.047
371.5231486,431.905,273.25,17.523
378.7879093,441.898,273.25,18.222
390.1934838,457.841,273.15,19.369
388.925734,465.082,273.15,19.904
382.8793146,433.125,273.15,17.608
377.1956788,412.737,273.05,16.228
369.2863057,397.145,273.05,15.218
362.3894331,383.546,272.95,14.369
354.7387596,373.916,272.85,13.785
345.8616138,368.261,272.85,13.449
336.5763585,368.275,272.85,13.45
325.8165949,360.293,272.95,12.985
307.7055028,350.652,272.45,12.437
287.1930174,339.46,272.65,11.819
284.9995165,332.056,272.85,11.421
283.8021951,329.263,273.15,11.273
284.67789,333.542,273.05,11.5
315.9930956,349.996,273.05,12.4
327.4234157,364.052,272.95,13.203
338.7784745,377.173,272.95,13.981
356.0236089,392.432,272.95,14.92
364.5436748,405.435,272.95,15.75
371.5232799,415.419,272.95,16.406
376.5223661,420.772,272.85,16.764
377.172031,419.838,272.65,16.701
384.9549269,422.293,272.65,16.867
395.6393961,434.853,272.65,17.728
394.5898308,439.141,272.65,18.028
387.1191246,431.978,272.35,17.528
381.1798889,424.829,272.15,17.038
373.6896431,420.718,271.95,16.76
366.2949846,414.038,271.75,16.314
359.0776622,402.601,271.65,15.567
351.7216401,391.108,271.45,14.837
334.6258892,381.44,270.75,14.24
325.5029241,373.082,270.15,13.735
313.5349389,364.025,269.15,13.201
299.9566241,358.156,268.85,12.862
297.3396607,357.305,268.65,12.813
295.7646261,360.375,268.35,12.99
298.5473064,368.085,268.75,13.439
318.9735484,382.586,269.15,14.31
329.8470382,404.741,269.45,15.705
344.440629,419.794,269.75,16.698
366.0276674,438.811,270.05,18.004
378.3697421,455.79,270.35,19.22
382.309956,464.81,270.75,19.884
383.982361,472.862,271.15,20.488
388.3956372,485.044,271.55,21.421
396.0258313,494.471,271.05,22.16
407.4750354,503.508,270.55,22.882
408.6963149,502.528,270.15,22.803
391.678044,489.728,269.95,21.787
380.764433,479.465,269.85,20.991
370.7397079,467.494,269.65,20.084
361.5441475,459.921,269.55,19.522
354.7532051,451.776,269.55,18.928
348.9906282,439.715,269.45,18.068
345.2527598,421.416,269.35,16.807
335.2100717,404.977,269.35,15.721
347.0158774,403.539,269.35,15.627
337.1594689,399.673,269.45,15.379
333.4063917,405.36,269.65,15.745
332.7287783,410.871,269.75,16.105
336.3884574,423.676,269.65,16.96
360.1643104,452.164,269.55,18.956
384.7387745,488.746,269.45,21.71
403.7430628,515.581,268.95,23.866
419.3330259,533.783,268.45,25.394
429.7974811,545.038,268.05,26.365
441.1786815,545.774,267.95,26.43
446.3912914,544.567,267.85,26.324
448.1915773,540.345,268.45,25.958
451.7017445,542.512,268.25,26.146
461.2917731,560.458,267.95,27.729
463.6539168,562.809,267.75,27.94
455.3304146,552.225,267.65,26.996
447.9956041,537.732,267.55,25.732
442.2961579,523.433,267.55,24.519
438.0254987,507.683,267.15,23.219
432.3954877,495.016,266.85,22.203
423.7793619,481.199,266.55,21.124
404.2511133,464.21,265.75,19.839
388.6646126,446.682,265.05,18.562
354.019553,437.879,265.85,17.939
349.6071597,432.148,265.65,17.54
348.176963,429.005,265.45,17.324
350.7466235,430.68,265.25,17.439
357.9318762,391.027,265.35,14.832
380.8210488,431.042,265.45,17.464
407.4777376,487.877,265.55,21.642
425.888244,509.892,265.85,23.399
441.1153022,530.905,266.25,25.149
449.9361081,534.641,266.55,25.467
460.0995923,541.904,267.45,26.093
464.0295246,535.401,268.35,25.532
463.4380364,530.534,270.55,25.117
463.8392122,543.385,270.55,26.221
468.6893954,552.984,270.65,27.063
465.8685608,552.793,270.65,27.046
453.1945617,535.701,270.45,25.558
443.0959555,509.947,270.25,23.404
435.468742,498.82,270.05,22.506
426.3867232,496.786,270.25,22.344
417.3758244,492.088,270.45,21.972
405.9625413,468.435,270.55,20.154
380.3750755,441.988,270.25,18.228
366.6192802,418.765,269.85,16.629
344.745532,408.379,270.35,15.942
339.34167,399.73,270.45,15.383
336.4586829,393.043,270.45,14.959
320.3564549,391.673,270.55,14.873
327.6197976,400.585,270.65,15.437
365.1727472,425.926,270.75,17.113
390.4077212,454.638,270.85,19.136
410.5641915,480.905,270.55,21.102
429.1923357,503.494,270.15,22.88
440.973474,520.577,269.75,24.28
446.6728117,525.02,269.55,24.652
448.3976494,521.849,269.35,24.386
447.4086516,521.579,269.45,24.364
449.6650327,530.532,269.25,25.117
456.3412031,546.197,269.05,26.466
454.7531769,551.284,268.85,26.913
446.1002044,543.343,268.65,26.218
435.619479,529.772,268.45,25.053
426.1167227,513.979,268.15,23.734
410.9113227,493.865,268.35,22.112
397.481416,483.608,268.45,21.31
387.9217022,473.57,268.55,20.541
368.3258752,446.362,268.65,18.539
366.421216,420.887,268.75,16.772
336.3722644,409.737,268.95,16.031
297.7673263,396.839,268.95,15.198
293.3441774,393.336,269.05,14.977
291.9949194,390.341,269.05,14.789
292.0082599,392.033,268.75,14.895
328.3898725,400.445,268.55,15.429
342.7954298,414.725,268.25,16.36
359.7903046,437.199,267.95,17.891
380.0499573,461.789,267.75,19.66
394.5434764,478.97,267.55,20.953
405.0900222,488.755,267.55,21.711
405.5994718,490.622,267.65,21.857
408.8712487,490.108,268.65,21.817
414.0493368,494.686,268.25,22.177
425.3396617,509.268,267.95,23.348
432.9116449,520.182,267.55,24.247
428.3480855,523.787,267.45,24.548
422.2932299,520.838,267.45,24.302
414.9188852,513.989,267.35,23.735
404.8770386,506.553,266.95,23.128
394.9232014,504.529,266.55,22.964
384.7085633,496.024,266.15,22.283
379.3966472,484.73,266.05,21.397
365.6802256,471.455,265.95,20.382
358.8676696,457.447,265.45,19.341
320.8884464,451.047,265.25,18.875
312.1720844,444.01,265.15,18.372
308.9901251,444.077,265.05,18.376
308.3079081,445.953,265.45,18.51
342.8314881,452.581,265.75,18.986
349.0352336,462.411,266.05,19.706
359.843385,478.318,267.05,20.903
377.3120424,495.524,267.95,22.244
391.0892878,514.688,268.95,23.792
406.7885435,526.238,269.15,24.754
408.2069183,532.278,269.35,25.266
410.4402062,535.752,269.45,25.562
418.0813113,546.259,269.35,26.472
435.1164396,563.105,269.25,27.967
451.419418,577.491,269.25,29.28
452.6763884,578.183,269.55,29.344
444.13625,563.757,269.95,28.026
426.5295769,534.094,270.35,25.421
406.9426676,496.418,270.75,22.314
393.0388618,470.774,271.05,20.33
375.0120675,451.177,271.45,18.885
367.9640767,432.88,271.65,17.591
351.1399865,421.475,271.85,16.811
356.6579133,414.194,271.95,16.325
323.4682858,401.828,272.05,15.517
306.2726188,393.985,272.25,15.018
292.8104932,390.322,272.35,14.788
292.9995731,395.072,272.55,15.087
326.4134634,405.243,272.75,15.738
334.7392288,416.066,272.95,16.449
342.2271866,424.2,272.85,16.996
346.2480954,438.349,272.75,17.972
355.7548203,453.469,272.55,19.051
368.2309249,464.106,272.85,19.832
376.8391003,474.757,273.15,20.631
385.5323952,486.792,273.45,21.557
396.2110126,496.208,273.15,22.298
408.4390869,513.179,272.85,23.668
416.1637863,525.399,272.65,24.684
409.4542486,520.78,272.35,24.297
408.9590696,505.461,271.95,23.039
405.0356405,489.925,271.65,21.802
398.557537,485.279,271.65,21.44
393.1330142,472.058,271.55,20.427
388.6314007,447.496,271.45,18.62
374.4212206,422.927,271.55,16.909
353.4633579,400.213,271.65,15.414
339.5379316,387.37,273.75,14.604
330.7131349,380.996,273.85,14.213
321.5600199,379.939,273.95,14.148
319.1320692,383.773,274.05,14.383
328.5386788,396.629,274.35,15.185
369.0635853,445.31,274.55,18.464
420.7849654,502.478,274.75,22.799
439.1614998,518.188,274.65,24.082
440.2799122,522.893,274.55,24.473
436.3832628,522.952,274.45,24.478
434.7292625,526.688,274.45,24.792
